
Features Used: x_position, y_position, accelerometer_x, accelerometer_y, accelerometer_z
No Grouping
Min Gesture Length 50

Best Result:
States 6 | Mixtures 7 | AUC 0.9387954779033916 | EER 0.11771428571428572
States 4 | Mixtures 23 | AUC 0.8879424460431655 | EER 0.19314285714285714
States 4 | Mixtures 24 | AUC 0.8920863309352518 | EER 0.192
States 4 | Mixtures 25 | AUC 0.887852004110997 | EER 0.19657142857142856
States 4 | Mixtures 26 | AUC 0.8820390544707092 | EER 0.2057142857142857
States 4 | Mixtures 27 | AUC 0.8998807810894142 | EER 0.18514285714285714
States 4 | Mixtures 28 | AUC 0.8873422404933196 | EER 0.1977142857142857
States 4 | Mixtures 29 | AUC 0.8581048304213772 | EER 0.21942857142857142
States 4 | Mixtures 30 | AUC 0.876431654676259 | EER 0.21257142857142858
States 5 | Mixtures 2 | AUC 0.8942322713257964 | EER 0.19085714285714286
States 5 | Mixtures 3 | AUC 0.934289825282631 | EER 0.12228571428571429
States 5 | Mixtures 4 | AUC 0.8977019527235355 | EER 0.2
States 5 | Mixtures 5 | AUC 0.9038108941418295 | EER 0.18057142857142858
States 5 | Mixtures 6 | AUC 0.894174717368962 | EER 0.18171428571428572
States 5 | Mixtures 7 | AUC 0.911950668036999 | EER 0.16228571428571428
States 5 | Mixtures 8 | AUC 0.9162096608427545 | EER 0.184
States 5 | Mixtures 9 | AUC 0.9368550873586845 | EER 0.136
States 5 | Mixtures 10 | AUC 0.930006166495375 | EER 0.15428571428571428
States 5 | Mixtures 11 | AUC 0.916349434737924 | EER 0.14857142857142858
States 5 | Mixtures 12 | AUC 0.9163165467625899 | EER 0.176
States 5 | Mixtures 13 | AUC 0.9113669064748202 | EER 0.15885714285714286
States 5 | Mixtures 14 | AUC 0.9312887975334019 | EER 0.1337142857142857
States 5 | Mixtures 15 | AUC 0.9242918807810894 | EER 0.15085714285714286
States 5 | Mixtures 16 | AUC 0.9234450154162385 | EER 0.16228571428571428
States 5 | Mixtures 17 | AUC 0.9318396711202467 | EER 0.14285714285714285
States 5 | Mixtures 18 | AUC 0.8980226104830421 | EER 0.19314285714285714
States 5 | Mixtures 19 | AUC 0.9059732785200411 | EER 0.18285714285714286
States 5 | Mixtures 20 | AUC 0.9053237410071943 | EER 0.18742857142857142
States 5 | Mixtures 21 | AUC 0.9042713257965057 | EER 0.184
States 5 | Mixtures 22 | AUC 0.9083741007194245 | EER 0.192
States 5 | Mixtures 23 | AUC 0.856016443987667 | EER 0.22514285714285714
States 5 | Mixtures 24 | AUC 0.8753381294964029 | EER 0.20685714285714285
States 5 | Mixtures 25 | AUC 0.860431654676259 | EER 0.2102857142857143
States 5 | Mixtures 26 | AUC 0.856016443987667 | EER 0.2102857142857143
States 5 | Mixtures 27 | AUC 0.8526783144912642 | EER 0.22171428571428572
States 5 | Mixtures 28 | AUC 0.8618211716341212 | EER 0.208
States 5 | Mixtures 29 | AUC 0.85520246659815 | EER 0.21257142857142858
States 5 | Mixtures 30 | AUC 0.8526947584789312 | EER 0.21942857142857142
States 6 | Mixtures 2 | AUC 0.8925303186022611 | EER 0.19085714285714286
States 6 | Mixtures 3 | AUC 0.9433586844809866 | EER 0.13028571428571428
States 6 | Mixtures 4 | AUC 0.9365262076053443 | EER 0.15771428571428572
States 6 | Mixtures 5 | AUC 0.9204028776978418 | EER 0.16228571428571428
States 6 | Mixtures 6 | AUC 0.937060637204522 | EER 0.12228571428571429
States 6 | Mixtures 7 | AUC 0.9387954779033916 | EER 0.11771428571428572
States 6 | Mixtures 8 | AUC 0.9381952723535456 | EER 0.12114285714285715
States 6 | Mixtures 9 | AUC 0.9350051387461459 | EER 0.1337142857142857
States 6 | Mixtures 10 | AUC 0.9279671120246661 | EER 0.16342857142857142
States 6 | Mixtures 11 | AUC 0.8936402877697841 | EER 0.18628571428571428
States 6 | Mixtures 12 | AUC 0.8906803699897224 | EER 0.18628571428571428
States 6 | Mixtures 13 | AUC 0.9398561151079137 | EER 0.13714285714285715
States 6 | Mixtures 14 | AUC 0.939699897225077 | EER 0.13714285714285715
States 6 | Mixtures 15 | AUC 0.9360739979445016 | EER 0.128
States 6 | Mixtures 16 | AUC 0.9355313463514903 | EER 0.1417142857142857
States 6 | Mixtures 17 | AUC 0.8866351490236383 | EER 0.2
States 6 | Mixtures 18 | AUC 0.8867338129496403 | EER 0.2022857142857143
States 6 | Mixtures 19 | AUC 0.8935662898252827 | EER 0.184
States 6 | Mixtures 20 | AUC 0.896929085303186 | EER 0.18971428571428572
States 6 | Mixtures 21 | AUC 0.9100267214799588 | EER 0.18057142857142858
States 6 | Mixtures 22 | AUC 0.8833463514902364 | EER 0.19885714285714284
States 6 | Mixtures 23 | AUC 0.8790626927029805 | EER 0.2
States 6 | Mixtures 24 | AUC 0.8484768756423432 | EER 0.2342857142857143
States 6 | Mixtures 25 | AUC 0.8585323741007194 | EER 0.2102857142857143
States 6 | Mixtures 26 | AUC 0.8772785200411101 | EER 0.2
States 6 | Mixtures 27 | AUC 0.9034244604316547 | EER 0.184
States 6 | Mixtures 28 | AUC 0.8993463514902363 | EER 0.18742857142857142
States 6 | Mixtures 29 | AUC 0.8732908530318602 | EER 0.216
States 6 | Mixtures 30 | AUC 0.843749229188078 | EER 0.22628571428571428
States 7 | Mixtures 2 | AUC 0.8925385405960945 | EER 0.19314285714285714
States 7 | Mixtures 3 | AUC 0.9267091469681398 | EER 0.16457142857142856
States 7 | Mixtures 4 | AUC 0.9187584789311407 | EER 0.17142857142857143
States 7 | Mixtures 5 | AUC 0.9283617677286741 | EER 0.15314285714285714
States 7 | Mixtures 6 | AUC 0.9132004110996916 | EER 0.17485714285714285
States 7 | Mixtures 7 | AUC 0.9176649537512848 | EER 0.1657142857142857
States 7 | Mixtures 8 | AUC 0.911967112024666 | EER 0.19085714285714286
States 7 | Mixtures 9 | AUC 0.9098540596094553 | EER 0.18514285714285714
States 7 | Mixtures 10 | AUC 0.9305734840698869 | EER 0.15771428571428572
States 7 | Mixtures 11 | AUC 0.9303268242548818 | EER 0.16228571428571428
States 7 | Mixtures 12 | AUC 0.9113586844809867 | EER 0.18171428571428572
States 7 | Mixtures 13 | AUC 0.9244398766700925 | EER 0.152
States 7 | Mixtures 14 | AUC 0.8986310380267215 | EER 0.18857142857142858
States 7 | Mixtures 15 | AUC 0.9243412127440905 | EER 0.14971428571428572
States 7 | Mixtures 16 | AUC 0.9008180883864336 | EER 0.192
States 7 | Mixtures 17 | AUC 0.8653895169578624 | EER 0.22628571428571428
States 7 | Mixtures 18 | AUC 0.8701829393627954 | EER 0.2022857142857143
States 7 | Mixtures 19 | AUC 0.8681685508735869 | EER 0.2057142857142857
States 7 | Mixtures 20 | AUC 0.8553586844809866 | EER 0.22857142857142856
States 7 | Mixtures 21 | AUC 0.920649537512847 | EER 0.16685714285714287
States 7 | Mixtures 22 | AUC 0.8690729701952724 | EER 0.19885714285714284
States 7 | Mixtures 23 | AUC 0.837130524152107 | EER 0.22628571428571428
States 7 | Mixtures 24 | AUC 0.8651346351490237 | EER 0.21714285714285714
States 7 | Mixtures 25 | AUC 0.8449003083247688 | EER 0.216
States 7 | Mixtures 26 | AUC 0.8591983556012334 | EER 0.2297142857142857
States 7 | Mixtures 27 | AUC 0.8620842754367934 | EER 0.20685714285714285
States 7 | Mixtures 28 | AUC 0.8731346351490236 | EER 0.20457142857142857
States 7 | Mixtures 29 | AUC 0.8473422404933196 | EER 0.22285714285714286
States 7 | Mixtures 30 | AUC 0.8641973278520041 | EER 0.208
States 8 | Mixtures 2 | AUC 0.9235272353545735 | EER 0.1737142857142857
States 8 | Mixtures 3 | AUC 0.9026515930113053 | EER 0.1782857142857143
States 8 | Mixtures 4 | AUC 0.9213319630010278 | EER 0.16228571428571428
States 8 | Mixtures 5 | AUC 0.9313134635149024 | EER 0.13942857142857143
States 8 | Mixtures 6 | AUC 0.9263556012332991 | EER 0.13142857142857142
States 8 | Mixtures 7 | AUC 0.9378006166495375 | EER 0.12
States 8 | Mixtures 8 | AUC 0.9096896197327853 | EER 0.2022857142857143
States 8 | Mixtures 9 | AUC 0.9105447070914697 | EER 0.18285714285714286
States 8 | Mixtures 10 | AUC 0.9319794450154162 | EER 0.1417142857142857
States 8 | Mixtures 11 | AUC 0.9249907502569372 | EER 0.168
States 8 | Mixtures 12 | AUC 0.9093771839671121 | EER 0.19428571428571428
States 8 | Mixtures 13 | AUC 0.9285673175745118 | EER 0.13714285714285715
States 8 | Mixtures 14 | AUC 0.9024213771839671 | EER 0.176
States 8 | Mixtures 15 | AUC 0.8992065775950667 | EER 0.18628571428571428
States 8 | Mixtures 16 | AUC 0.8658417266187051 | EER 0.20114285714285715
States 8 | Mixtures 17 | AUC 0.8734224049331962 | EER 0.20457142857142857
States 8 | Mixtures 18 | AUC 0.9019773895169578 | EER 0.18628571428571428
States 8 | Mixtures 19 | AUC 0.8568386433710176 | EER 0.22514285714285714
States 8 | Mixtures 20 | AUC 0.864065775950668 | EER 0.2022857142857143
States 8 | Mixtures 21 | AUC 0.88016443987667 | EER 0.2102857142857143
States 8 | Mixtures 22 | AUC 0.848583761562179 | EER 0.23085714285714284
States 8 | Mixtures 23 | AUC 0.8714162384378212 | EER 0.216
States 8 | Mixtures 24 | AUC 0.8622158273381295 | EER 0.21142857142857144
States 8 | Mixtures 25 | AUC 0.8883206577595067 | EER 0.19657142857142856
States 8 | Mixtures 26 | AUC 0.8689085303186023 | EER 0.22285714285714286
States 8 | Mixtures 27 | AUC 0.8491921891058583 | EER 0.23314285714285715
States 8 | Mixtures 28 | AUC 0.8565837615621787 | EER 0.2057142857142857
States 8 | Mixtures 29 | AUC 0.864879753340185 | EER 0.20342857142857143
States 8 | Mixtures 30 | AUC 0.8497183967112025 | EER 0.216
States 9 | Mixtures 2 | AUC 0.9186515930113053 | EER 0.18628571428571428
States 9 | Mixtures 3 | AUC 0.9184871531346351 | EER 0.17142857142857143
States 9 | Mixtures 4 | AUC 0.9036135662898253 | EER 0.19428571428571428
States 9 | Mixtures 5 | AUC 0.9019362795477903 | EER 0.16228571428571428
States 9 | Mixtures 6 | AUC 0.906672147995889 | EER 0.1737142857142857
States 9 | Mixtures 7 | AUC 0.9007029804727646 | EER 0.16457142857142856
States 9 | Mixtures 8 | AUC 0.9337060637204523 | EER 0.12457142857142857
States 9 | Mixtures 9 | AUC 0.9167112024665982 | EER 0.19085714285714286
States 9 | Mixtures 10 | AUC 0.931321685508736 | EER 0.13257142857142856
States 9 | Mixtures 11 | AUC 0.9341829393627955 | EER 0.14285714285714285
States 9 | Mixtures 12 | AUC 0.9045015416238438 | EER 0.184
States 9 | Mixtures 13 | AUC 0.9120739979445015 | EER 0.18171428571428572
States 9 | Mixtures 14 | AUC 0.9181171634121275 | EER 0.18857142857142858
States 9 | Mixtures 15 | AUC 0.9098622816032889 | EER 0.18742857142857142
States 9 | Mixtures 16 | AUC 0.9131675231243577 | EER 0.184
States 9 | Mixtures 17 | AUC 0.9012456320657759 | EER 0.18514285714285714
States 9 | Mixtures 18 | AUC 0.8987379239465572 | EER 0.18628571428571428
States 9 | Mixtures 19 | AUC 0.9176649537512847 | EER 0.17142857142857143
States 9 | Mixtures 20 | AUC 0.8936567317574512 | EER 0.19428571428571428
States 9 | Mixtures 21 | AUC 0.9074121274409045 | EER 0.18628571428571428
States 9 | Mixtures 22 | AUC 0.8970524152106885 | EER 0.18514285714285714
States 9 | Mixtures 23 | AUC 0.8951531346351491 | EER 0.19314285714285714
States 9 | Mixtures 24 | AUC 0.883403905447071 | EER 0.2
States 9 | Mixtures 25 | AUC 0.8416361767728675 | EER 0.22514285714285714
States 9 | Mixtures 26 | AUC 0.8456731757451182 | EER 0.2377142857142857
States 9 | Mixtures 27 | AUC 0.8829023638232271 | EER 0.20685714285714285
States 9 | Mixtures 28 | AUC 0.886289825282631 | EER 0.2022857142857143
States 9 | Mixtures 29 | AUC 0.847950668036999 | EER 0.21942857142857142
States 9 | Mixtures 30 | AUC 0.8842672147995889 | EER 0.20342857142857143
States 10 | Mixtures 2 | AUC 0.9184707091469682 | EER 0.18285714285714286
States 10 | Mixtures 3 | AUC 0.9245796505652621 | EER 0.16457142857142856
States 10 | Mixtures 4 | AUC 0.92624049331963 | EER 0.152
States 10 | Mixtures 5 | AUC 0.8820472764645426 | EER 0.19314285714285714
States 10 | Mixtures 6 | AUC 0.8986968139773895 | EER 0.17942857142857144
States 10 | Mixtures 7 | AUC 0.9079712230215827 | EER 0.18285714285714286
States 10 | Mixtures 8 | AUC 0.9047893114080164 | EER 0.19428571428571428
States 10 | Mixtures 9 | AUC 0.9310832476875642 | EER 0.13028571428571428
States 10 | Mixtures 10 | AUC 0.9104460431654676 | EER 0.184
States 10 | Mixtures 11 | AUC 0.9185200411099692 | EER 0.17142857142857143
States 10 | Mixtures 12 | AUC 0.9116875642343268 | EER 0.184
States 10 | Mixtures 13 | AUC 0.9275313463514903 | EER 0.15542857142857142
States 10 | Mixtures 14 | AUC 0.9082014388489208 | EER 0.17142857142857143
States 10 | Mixtures 15 | AUC 0.895087358684481 | EER 0.18514285714285714
States 10 | Mixtures 16 | AUC 0.903054470709147 | EER 0.176
States 10 | Mixtures 17 | AUC 0.9012702980472765 | EER 0.18628571428571428
States 10 | Mixtures 18 | AUC 0.88079753340185 | EER 0.19428571428571428
States 10 | Mixtures 19 | AUC 0.8941336073997944 | EER 0.19657142857142856
States 10 | Mixtures 20 | AUC 0.8677245632065776 | EER 0.21828571428571428
